Try_index N kappa_old kappa_new time_rescaled mag
0 40000.000000 0.318639 1.154858 1942.000000 0.913200
0 40000.000000 0.318639 1.154858 1947.000000 0.913150
0 40000.000000 0.318639 1.154858 1948.000000 0.913100
0 40000.000000 0.318639 1.154858 1951.000000 0.912950
0 40000.000000 0.318639 1.154858 1951.000000 0.912950
0 40000.000000 0.318639 1.154858 1959.000000 0.912550
0 40000.000000 0.318639 1.154858 1961.000000 0.912550
0 40000.000000 0.318639 1.154858 1965.000000 0.912350
0 40000.000000 0.318639 1.154858 1966.000000 0.912300
0 40000.000000 0.318639 1.154858 1966.000000 0.912300
0 40000.000000 0.318639 1.154858 1966.000000 0.912300
0 40000.000000 0.318639 1.154858 1966.000000 0.912300
0 40000.000000 0.318639 1.154858 1966.000000 0.912300
0 40000.000000 0.318639 1.154858 1967.000000 0.912250
0 40000.000000 0.318639 1.154858 1968.000000 0.912200
0 40000.000000 0.318639 1.154858 1973.000000 0.912150
0 40000.000000 0.318639 1.154858 1975.000000 0.912050
0 40000.000000 0.318639 1.154858 1978.000000 0.912100
0 40000.000000 0.318639 1.154858 1985.000000 0.911850
0 40000.000000 0.318639 1.154858 1985.000000 0.911850
0 40000.000000 0.318639 1.154858 1985.000000 0.911850
0 40000.000000 0.318639 1.154858 1985.000000 0.911850
0 40000.000000 0.318639 1.154858 1986.000000 0.911900
0 40000.000000 0.318639 1.154858 1987.000000 0.911950
0 40000.000000 0.318639 1.154858 1990.000000 0.911800
0 40000.000000 0.318639 1.154858 1990.000000 0.911800
0 40000.000000 0.318639 1.154858 1990.000000 0.911800
0 40000.000000 0.318639 1.154858 1990.000000 0.911800
0 40000.000000 0.318639 1.154858 1990.000000 0.911800
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1991.000000 0.911750
0 40000.000000 0.318639 1.154858 1993.000000 0.911650
0 40000.000000 0.318639 1.154858 1994.000000 0.911700
0 40000.000000 0.318639 1.154858 1998.000000 0.911600
0 40000.000000 0.318639 1.154858 2000.000000 0.911500
0 40000.000000 0.318639 1.154858 2000.000000 0.911500
0 40000.000000 0.318639 1.154858 2001.000000 0.911450
0 40000.000000 0.318639 1.154858 2004.000000 0.911300
0 40000.000000 0.318639 1.154858 2007.000000 0.911150
0 40000.000000 0.318639 1.154858 2009.000000 0.911050
0 40000.000000 0.318639 1.154858 2011.000000 0.910950
0 40000.000000 0.318639 1.154858 2013.000000 0.910850
0 40000.000000 0.318639 1.154858 2013.000000 0.910850
0 40000.000000 0.318639 1.154858 2015.000000 0.910850
0 40000.000000 0.318639 1.154858 2016.000000 0.910800
0 40000.000000 0.318639 1.154858 2016.000000 0.910800
0 40000.000000 0.318639 1.154858 2016.000000 0.910800
0 40000.000000 0.318639 1.154858 2017.000000 0.910750
0 40000.000000 0.318639 1.154858 2026.000000 0.910400
0 40000.000000 0.318639 1.154858 2035.000000 0.910050
0 40000.000000 0.318639 1.154858 2047.000000 0.909650
0 40000.000000 0.318639 1.154858 2066.000000 0.908900
0 40000.000000 0.318639 1.154858 2070.000000 0.908700
0 40000.000000 0.318639 1.154858 2076.000000 0.908500
0 40000.000000 0.318639 1.154858 2082.000000 0.908300
0 40000.000000 0.318639 1.154858 2083.000000 0.908250
0 40000.000000 0.318639 1.154858 2087.000000 0.908150
